Designator,Mid X,Mid Y,Layer,Rotation
BT1,147.200000mm,-139.050000mm,Top,180
BT2,136.600000mm,-139.050000mm,Top,180
C1,111.600000mm,-98.200000mm,Top,90
C2,118.600000mm,-103.900000mm,Top,0
C3,113.100000mm,-109.000000mm,Top,0
C4,120.300000mm,-109.000000mm,Top,0
C5,117.100000mm,-130.650000mm,Top,270
C6,114.200000mm,-103.900000mm,Top,0
C7,114.200000mm,-105.200000mm,Top,180
C8,115.100000mm,-94.800000mm,Top,0
C9,117.100000mm,-127.400000mm,Top,270
C10,143.300000mm,-119.700000mm,Top,90
C11,137.400000mm,-116.400000mm,Top,180
C12,135.412500mm,-64.700000mm,Top,180
C13,137.600000mm,-47.700000mm,Top,90
C14,139.900000mm,-118.800000mm,Top,0
C15,138.200000mm,-60.000000mm,Top,0
C16,136.300000mm,-47.700000mm,Top,90
C17,138.200000mm,-64.700000mm,Top,0
C18,139.900000mm,-117.500000mm,Top,0
C19,114.800000mm,-77.500000mm,Top,270
C20,122.200000mm,-120.300000mm,Top,0
C21,139.800000mm,-122.600000mm,Top,270
C22,133.300000mm,-122.100000mm,Top,270
C23,108.200000mm,-122.700000mm,Top,90
C24,111.600000mm,-104.600000mm,Top,270
C25,131.800000mm,-116.400000mm,Top,180
C26,116.100000mm,-77.500000mm,Top,270
C27,143.800000mm,-108.200000mm,Top,0
C28,143.800000mm,-105.600000mm,Top,0
C29,144.100000mm,-125.700000mm,Top,270
C30,143.900000mm,-122.700000mm,Top,90
C31,116.100000mm,-83.800000mm,Top,0
C32,134.200000mm,-127.900000mm,Top,0
C33,134.200000mm,-133.100000mm,Top,180
C34,144.100000mm,-128.900000mm,Top,90
C35,127.100000mm,-119.300000mm,Top,90
C36,109.200000mm,-76.900000mm,Top,180
C37,119.100000mm,-88.600000mm,Top,180
D1,114.800000mm,-130.000000mm,Top,90
D2,119.400000mm,-130.000000mm,Top,90
D3,140.800000mm,-127.800000mm,Top,270
D4,116.900000mm,-81.700000mm,Top,0
FB1,111.600000mm,-101.400000mm,Top,90
FB2,136.600000mm,-62.300000mm,Top,90
FB3,138.700000mm,-62.300000mm,Top,270
J6,150.200000mm,-108.650000mm,Top,90
L1,136.700000mm,-123.200000mm,Top,0
L2,129.900000mm,-123.200000mm,Top,180
Q1,109.350000mm,-127.850000mm,Top,180
Q2,109.350001mm,-134.900000mm,Top,180
Q3,124.850000mm,-127.850000mm,Top,0
Q4,124.850000mm,-134.900000mm,Top,0
Q5,134.000000mm,-110.100000mm,Top,90
Q6,130.600000mm,-110.100000mm,Top,90
Q7,109.350000mm,-127.850000mm,Top,180
Q8,109.350001mm,-134.900000mm,Top,180
Q9,124.850000mm,-127.850000mm,Top,0
Q10,124.850000mm,-134.900000mm,Top,0
R1,115.200000mm,-108.200000mm,Top,90
R2,114.400000mm,-118.000000mm,Top,90
R3,118.200000mm,-108.200000mm,Top,90
R4,114.800000mm,-126.300000mm,Top,90
R5,109.100000mm,-119.300000mm,Top,0
R6,111.000000mm,-140.000000mm,Top,0
R7,114.800000mm,-138.500000mm,Top,90
R8,109.700000mm,-122.900000mm,Top,90
R9,109.100000mm,-114.300000mm,Top,180
R10,111.800000mm,-123.700000mm,Top,0
R11,112.300000mm,-118.800000mm,Top,0
R12,111.800000mm,-122.400000mm,Top,180
R13,119.000000mm,-118.012499mm,Top,90
R14,119.400000mm,-126.300000mm,Top,90
R15,109.100000mm,-107.600000mm,Top,0
R16,118.800000mm,-140.000000mm,Top,0
R17,116.400000mm,-138.500000mm,Top,90
R18,124.100000mm,-122.900000mm,Top,90
R19,113.100000mm,-112.500000mm,Top,90
R20,120.300000mm,-112.500000mm,Top,90
R21,109.100000mm,-102.600000mm,Top,180
R22,122.000000mm,-123.700000mm,Top,180
R23,142.000000mm,-118.100000mm,Top,270
R24,121.100000mm,-118.800000mm,Top,180
R25,122.000000mm,-122.400000mm,Top,0
R26,142.000000mm,-120.900000mm,Top,90
R27,115.200000mm,-115.900000mm,Top,180
R28,118.200000mm,-115.900000mm,Top,0
R29,139.900000mm,-120.100000mm,Top,0
R30,137.600000mm,-50.500000mm,Top,90
R31,134.600000mm,-116.400000mm,Top,180
R32,136.300000mm,-50.500000mm,Top,90
R33,111.100000mm,-53.100000mm,Top,270
R34,132.500000mm,-119.000000mm,Top,90
R35,126.200000mm,-116.400000mm,Top,0
R36,129.000000mm,-116.400000mm,Top,0
R37,134.300000mm,-62.300000mm,Top,180
R38,117.400000mm,-77.487501mm,Top,270
R39,133.000000mm,-107.200000mm,Top,270
R40,140.687500mm,-105.000000mm,Top,0
R41,132.300000mm,-112.400000mm,Top,180
R42,143.800000mm,-110.000000mm,Top,0
R43,143.800000mm,-106.900000mm,Top,0
R44,135.100000mm,-112.400000mm,Top,0
R45,131.600000mm,-107.212499mm,Top,270
R46,145.800000mm,-121.400000mm,Top,270
R47,149.700000mm,-122.400000mm,Top,270
R48,109.800000mm,-53.087500mm,Top,270
R49,148.400000mm,-122.400000mm,Top,90
R50,117.400000mm,-53.087501mm,Top,270
R51,106.500000mm,-77.187500mm,Top,270
R52,119.100000mm,-83.600000mm,Top,0
R53,115.900000mm,-85.399999mm,Top,0
R54,114.400000mm,-52.500000mm,Top,180
R55,114.400000mm,-53.800000mm,Top,180
U1,116.900000mm,-122.200000mm,Top,180
U2,116.100000mm,-99.400000mm,Top,0
U3,107.600000mm,-65.250000mm,Top,90
U4,138.200000mm,-55.600000mm,Top,180
U5,136.700000mm,-119.000000mm,Top,270
U6,129.900000mm,-119.000000mm,Top,90
U7,138.900000mm,-108.700000mm,Top,90
U8,147.700000mm,-127.400000mm,Top,180
U9,119.100000mm,-86.100000mm,Top,270
